start,goal,distance,goal_risk_t150,std_late_risk,risk_late_risk,risk_reduction_pct_late,std_early_risk,late_interference_score,path_length_increase_pct_late,std_smoke_t150,risk_smoke_t150,smoke_reduction_t150
"(96, 79)","(64, 179)",104.9952379872535,0.0,17.330301317313907,8.234872603072995,52.48280770025671,2.472753006037784e-19,17.330301317313907,7.682278939219007,39.2155186,18.805958229999998,20.409560370000005
"(124, 186)","(113, 0)",186.3249849054066,0.0,6.159479138459416,0.23607639725779936,96.16726687515259,0.0,6.159479138459416,0.7848500169462433,9.438763699999999,0.5806537,8.85811
"(25, 118)","(183, 20)",185.9247159470736,0.567079,68.15220872950837,16.217948434305043,76.20334140794613,1.848525612694255e-09,68.15220872765985,53.45088702955729,105.06767667,3.1190457000000005,101.94863097
"(13, 170)","(123, 83)",140.24621207005913,0.498298,33.3492240836336,25.174456639806642,24.51261661538564,3.7785022622916657,29.570721821341934,0.0,51.92834799999999,38.22221999999999,13.706128
"(143, 121)","(58, 178)",102.34256201600583,0.0,35.03677819138587,30.594700581888596,12.678327856610409,7.00010606013841,28.03667213124746,1.1259843233370974,37.5779867,34.398169960000004,3.1798167399999926
"(101, 54)","(54, 154)",110.4943437466371,0.0,15.456771539942807,5.783560373152918,62.58235196006321,2.2921227643330004e-25,15.456771539942807,12.02398610219054,29.64718956,9.616606,20.03058356
"(185, 105)","(6, 115)",179.27911200137063,0.0,120.3101568243215,0.0,100.0,33.70627537026345,86.60388145405804,9.330946250548426,109.931119,0.0,109.931119
"(53, 27)","(186, 178)",201.2212712413874,0.0,56.57102173026301,1.1664137333157886e-16,100.0,1.7608824628063314e-09,56.57102172850213,24.700355036648862,84.710726,0.0,84.710726
"(52, 6)","(166, 8)",114.0175425099138,0.641654,53.14928937237786,41.265543950264735,22.35918026834279,0.0,53.14928937237786,13.276635577691893,66.7369057,61.43756840000001,5.2993372999999835
"(13, 166)","(143, 70)",161.60445538412608,0.94109,98.1038183671786,47.50000926102617,51.581895535151084,52.336610861717574,45.76720750546103,16.672327521060907,81.66139630000002,45.98567963,35.67571667000002
"(104, 11)","(103, 166)",155.00322577288512,1.52319e-10,40.43252470981752,8.855396879643335,78.09833310386098,1.9913403994084858e-16,40.43252470981752,31.93977615875652,81.14187826,10.7797104,70.36216786
